content,score,sentiment
"feedback kecil: pas mobile data dipakai. Aku cuma mau cek harga barang, tapi aplikasi sering force close. lama-lama bikin malas buka aplikasinya. versi v30.4.2 Masalahnya kerasa pas handle ukuran kecil lanyard kampus.",1,negative
"catatan kecil: aku bandingin sama minggu lalu. Aku cuma mau lihat live diskon, tapi tab inbox lama kebuka. buat jualan malah bikin panik. (vivo Y21, Android 12) Di fitur search, link produk lepas dari video.",2,negative
"sebagai pengguna yang jarang komplain, laporan user: pas lagi nunggu bus aku buka. Awalnya aku ragu buat cari review gadget, tapi export video nggak pecah. rasanya lebih matang dari versi sebelumnya. di Denpasar Cocok juga buat handle diskon lampu belajar. Di halaman refund, filter ukuran produk lebih enak.",3,positive
"aku install lagi kemarin, saldo promosi nggak keupdate, rasanya seperti dipaksa jadi beta tester aku tunggu update perbaikan? #fyp Di keranjang, laporan retur gagal diunduh. Setelah dicoba 18 persen baterai, terlalu banyak tap buat hal sederhana.",1,negative
"hasilnya lebih rapi dibanding bulan lalu, mode dark-nya nyyaman, rasanya lebih matang dari versi sebelumnya!! #tiktokshop imo di Manado Cocok juga buat handle quick order sabun muka. Setelah dicoba 28 order, cukup ramah buat hp pas-pasan.",5,positive
"sebagai seller pemula aku ngerasain, notifikasi order masuk cepat, feelnya smooth. aku bakal pantau update berikutnya... #reviewjujur deh Di live control room, insight penonton dibagi per jam.",5,positive
"sebagai seller mainan anak, Buat cek harga barang, keranjang belanja seirng kosong sendiri. produk serum wajah jadi susah diproses, capek sendiri ngulang dari awal!! asli",2,negative
"di Cikarang, pengalaman singkat: dari sisi penonton biasa. Awalnya aku ragu buat lihat live diskon, tapi caption otomatis lumayan rapi. ini update yang kerasa manfaatnya. #update lah",3,positive
"sebagai pemilik akun toko keluarga, di hp mid-range pun masih jalan, pencarian barang makin relevan, rasanya lebih matang dari versi sebelumnya... cc tim dev Di halaman refund, catatan pesanan ikut terbawa. #fypnyambung cape",5,positive
"di Jagakarsa, versi kali ini terasa lebih ringan, hasil search hashtag lebih tepat, bwt seller kecil ini ngebantu!! #checkout Setelah dicoba 3 voucher, rasanya lebih dekat ke kebutuhan seller kecil. Device: OPPO A78, jaringan Indihome.",4,positive
"sebagai pengelola katalog kecil, tiap habis upload video, notifikasi telat masuk, keranjang balik ke awal, ini bikin workflow jadi kacau? #checkout Masalahnya kerasa pas handle limited poster kamar. Setelah dicoba 2 kali, terlalu banyak tap buat hal sederhana. Device: Poco X3, jaringan Telkomsel. #paketnyangkut",3,negative
"dari minggu lalu progresnya kelihatan, draft video aman tersimpan, nggak sempurna tapi arahnya bagus... via hotspot teman Di riwayat transaksi, insight penonton dibagi per jam. Device: vivo Y36, jaringan Indosat.",5,positive
